AuthorName,aPublication,coAuthor,yearsInField,venueImpact,h-Index,i10-Index,aRefs,TotalCitation,CitationsPerYear
"""A. K. B. Aain""",1.5,3,2,16.5,2,0,0,11,5.5
"""A. ONeill""",1,1,1,32,0,0,0,0,0
"""Abu Khari bin AAin""",1,2,1,12,1,0,0,2,2
"""Ahuva Mualem Weil""",1,1,4,35,1,1,9,194,48.5
"""Ala Qadi""",1.25,3.75,6,27.75,3,1,1,79,13.16666667
"""Alessandro DInnocenzo""",2.333333333,20.66666667,3,52.33333333,4,2,0.666666667,44,14.66666667
"""Alfredo DElia""",1,38,1,14,1,0,0,2,2
"""Anand L. DSouza""",1,1,5,10,2,2,6,32,6.4
"""Andrs Jagos""",0,2,1,0,0,0,0,0,0
"""Anne ODonnell""",0,6,1,0,0,0,0,0,0
"""B. C. ONeill""",1,3,12,19.8,1,0,0,4,0.333333333
"""Barry ORourke""",1,4.666666667,5,16,2,0,3,7,1.4
"""Brendan OFlynn""",2.4,33.6,5,53.2,8,6,3.4,257,51.4
"""Brian J. dAuriol""",4.9,14.8,13,56.4,7,3,2.2,181,13.92307692
"""Brian OKelley""",1,5,1,49,1,1,13,22,22
"""Brian W. OKrafka""",1,2,5,43.5,2,2,6.5,152,30.4
"""Bruce DAmora""",1.5,6,4,52.5,3,2,1,34,8.5
"""Carlos ORyan""",4,12.8,5,74.2,16,18,11.4,736,147.2
"""Charles W. ODonnell""",1.4,9,5,32.8,5,4,4.8,307,61.4
"""Chng Shi Baw""",1.5,5,4,38.5,2,2,5,41,10.25
"""Ciaran ODonnell""",1.25,1.75,4,20.5,0,0,2,0,0
"""Colleen ORourke""",1,1,1,27,1,1,1,12,12
"""Colm OEigeartaigh""",3.666666667,10.33333333,3,119,9,8,5.666666667,483,161
"""Crescenzo DAlessandro""",2.25,9.5,4,46.5,7,3,5,87,21.75
"""D. C. OBrien""",1,3.666666667,4,52,2,2,0,67,16.75
"""Daniel C. ONeill""",0,3,1,0,0,0,0,0,0
"""Daniele Cono DElia""",0,2,1,0,0,0,0,0,0
"""Daniele DAgostino""",3.571428571,20,7,63.85714286,6,2,1.714285714,96,13.71428571
"""Dario DAmore""",1.4,7.4,16,33.6,3,1,1,25,1.5625
"""Darragh ONeill""",1,1,1,14,1,1,0,60,60
"""David R. OHallaron""",2.8,9.65,23,77.8,27,40,11.25,2417,105.0869565
"""Declan OConnor""",1,7,1,20,1,0,0,1,1
"""Desmond DSouza""",2.625,2.375,16,69.375,2,1,0.625,23,1.4375
"""Dianne P. OLeary""",2.375,4.8125,28,70.375,16,19,1.875,1043,37.25
"""Diarmuid ODonoghue""",1.5,2,11,17.5,3,1,0.25,24,2.181818182
"""DoaA Al Otoom""",0,9,1,0,0,0,0,0,0
"""Donal OKane""",2.333333333,9,3,27.66666667,5,2,0.333333333,105,35
"""Donal OMahony""",2.166666667,5.25,16,53.5,12,14,0.5,833,52.0625
"""E. Pearse OGrady""",1,0.5,22,15.5,1,0,0,6,0.272727273
"""Eamonn ONeill""",3.285714286,13.71428571,25,103.7142857,12,13,17.57142857,505,20.2
"""Edgar OHair""",1,3,1,22,1,1,1,11,11
"""Eduardo DAvila""",1,5,1,9,1,0,0,2,2
"""Eduardo DAzevedo""",1,6,1,23,1,0,7,8,8
"""Eduardo F. DAzevedo""",1.363636364,6.090909091,16,35.27272727,7,6,0,211,13.1875
"""Eoin A. OCearbhaill""",1,1,1,22,0,0,0,0,0
"""Erik H. DHollander""",1.842105263,3.263157895,26,35.47368421,12,14,6.526315789,464,17.84615385
"""F. J. OReilly""",1,2,1,20,0,0,0,0,0
"""F. P. OConnell""",1,2,1,16,0,0,0,0,0
"""Fabrizio dAmore""",1.9,3.7,14,29.5,5,1,2.1,107,7.642857143
"""Fangai Liu""",1.5,2.5,2,24,1,0,0,1,0.5
"""Faris Badii""",1,1,1,12,0,0,0,0,0
"""Fernando DAndrea""",1,3.333333333,8,13.33333333,1,0,1,7,0.875
"""Filomena D. dAlmeida""",1.2,2,10,15.2,2,0,0,11,1.1
"""Finbarr ORegan""",1,1,1,32,1,0,0,5,5
"""Francesco DAndria""",0,46,1,0,0,0,0,0,0
"""Francesco DAscoli""",1.5,16,2,51,2,0,1,14,7
"""Francis OCarroll""",1.5,6.5,2,55,3,3,1.5,277,138.5
"""Frank OGorman""",1.666666667,2,6,43.33333333,4,4,0.333333333,369,61.5
"""Frank OMahony""",1.5,26,3,43,1,1,1,23,7.666666667
"""Gabriele DAngelo""",2.666666667,11.5,6,35,7,6,15.83333333,158,26.33333333
"""George A. OSullivan""",1,0,1,32,0,0,0,0,0
"""Gianlorenzo DAngelo""",3,57.5,2,29.5,4,2,7,63,31.5
"""Giovanni Cali""",0,8,1,0,0,0,0,0,0
"""Giuseppe DAngelo""",1,12,1,15,0,0,1,0,0
"""Gregory M. P. OHare""",9.153846154,45.07692308,18,161.4615385,22,50,15.76923077,2030,112.7777778
"""Hans vant Hag""",1,1,1,38,1,0,0,7,7
"""I. DAntone""",1,1.5,2,18,1,0,0,4,2
"""I. OConnor""",1,5,1,34,1,0,4,5,5
"""Ian OConnor""",4.2,38.4,8,72.4,10,11,1.6,274,34.25
"""Isaskhar Walter""",1.5,20,2,39,3,3,20.5,118,59
"""J. Michael OConnor""",1,9,14,12.5,2,1,0,18,1.285714286
"""James OToole""",2.428571429,4,8,75.42857143,13,13,15,2419,302.375
"""Janalee OBagy""",1,1.333333333,7,24,2,1,1.666666667,15,2.142857143
"""Jean-Yves LExcellent""",1.636363636,6,13,32.18181818,9,9,3.090909091,466,35.84615385
"""John F. DAmbrosia""",1,7,1,32,0,0,0,0,0
"""John F. OCallaghan""",1,0.444444444,23,32.55555556,4,4,0.111111111,1394,60.60869565
"""John J. ODonnell""",1,2.25,12,23.25,2,2,1.25,602,50.16666667
"""John ODonnell""",1.545454545,2.272727273,20,24.09090909,4,3,1.272727273,112,5.6
"""John OLeary""",1.4,5,16,27.9,5,4,1.8,120,7.5
"""John S. ODonnell""",1,6,1,15,1,1,0,370,370
"""John Setel ODonnell""",1,2,1,29,1,1,2,22,22
"""John W. OLeary""",1.083333333,4.166666667,16,21.25,10,10,1.666666667,424,26.5
"""Jorge DEl\xc3\xada""",1,3,1,22,1,1,5,30,30
"""Joseph A. OSullivan""",2.214285714,7.428571429,20,133,16,19,0.5,1500,75
"""Joseph DAmbrosio""",0,8,1,0,0,0,0,0,0
"""Joseph DErrico""",2,3,1,50,2,2,17,36,36
"""Joseph G. DAmbrosio""",1.5,2,4,33.25,5,4,1,223,55.75
"""Joseph ORourke""",7.482758621,14.89655172,29,323.137931,48,145,4.413793103,7227,249.2068966
"""Junichi Mano""",1,3.5,4,28,2,1,0,14,3.5
"""Junichi Yura""",1,9,4,15.75,2,2,0,22,5.5
"""Junya Kudo""",1,4,1,28,0,0,0,0,0
"""Junya Sakemi""",1,3.666666667,18,30.66666667,2,2,0,48,2.666666667
"""KAndrea C. Bickerstaff""",1,2,7,24,1,1,0,58,8.285714286
"""Karen F. ODonoghue""",1,3,2,23,1,1,0,23,11.5
"""Karen ODonoghue""",1.5,5.5,2,33,2,0,0,8,4
"""Kathryn M. OBrien""",1.8,13,14,35.8,8,8,8.8,625,44.64285714
