Modern Database Systems,2,475
,62,46837
"Object-Oriented Concepts, Databases, and Applications",15,1690
The INGRES Papers,2,45
Temporal Databases,23,1774
Reihe Informatik,5,66
The Compiler Design Handbook,9,543
The Industrial Information Technology Handbook,10,386
The Computer Science and Engineering Handbook,24,16981
CSLI Lecture Notes,1,5
On the Construction of Programs,3,267
Cambridge Tracts in Theoretical Computer Science,1,263
Web Engineering: Systematische Entwicklung von Web-Anwendungen,4,49
Web & Datenbanken,4,40
Implementations of Prolog,10,426
Prolog and Databases,7,95
Handbook of Automated Reasoning,26,3207
Computer-Aided Database Design: the DATAID approach,5,47
Logic Programming: Formal Methods and Practical Applications,5,200
Methodology and Tools for Data Base Design,7,142
"Handbook of Theoretical Computer Science, Volume A: Algorithms and Complexity (A)",15,2712
"Handbook of Theoretical Computer Science, Volume B: Formal Models and Sematics (B)",18,11576
Tree Automata and Languages,10,446
Studies in Logic and the Foundations of Mathematics,1,3
Outstanding Dissertations in the Computer Sciences,10,1814
Readings in Music and Artificial Intelligence,8,222
Effective databases for text & document management,3,30
Database Integrity,3,35
Encyclopedia of Information Science and Technology (IV),5,64
Encyclopedia of Information Science and Technology (I),7,284
Encyclopedia of Information Science and Technology (V),6,146
Encyclopedia of Information Science and Technology (III),4,53
Encyclopedia of Information Science and Technology (II),5,82
Encyclopedia of Database Technologies and Applications,8,9675
Spatial Databases,5,72
Multidimensional Databases,6,84
Information Modeling in the New Millennium,8,177
"Unified Modeling Language: Systems Analysis, Design and Development Issues",9,268
"Advanced Topics in Database Research, Vol. 1",6,115
"Advanced Topics in Database Research, Vol. 2",3,35
"Advanced Topics in Database Research, Vol. 3",3,41
Information Modeling Methods and Methodologies,7,105
Web-Powered Databases,3,29
DISKI,6,150
DISDBIS,2,9
Flexible Working - New Network Technologies,2,6
Knowledge Transformation for the Semantic Web,6,142
Frontiers in Artificial Intelligence and Applications,4,91
Advanced Transaction Models and Architectures,7,170
Uncertainty Management in Information Systems,9,492
Multimedia Database Systems,7,169
Computers and Education in the 21st Century,5,80
Computers and Education. Towards an Interconnected Society,5,66
The TSQL2 Temporal Query Language,8,220
Clustering and Information Retrieval,6,218
Mathematics and Its Applications,0,0
Studies in Cognitive Systems,0,0
Multimedia Systems and Applications,1,23
Advances in Databases Systems,2,110
Kluwer International Series in Engineering and Computer Science,1,118
Multimedia Data Management,8,398
"Database System Concepts, 4th Edition.",1,1
Database Design,0,0
Knowledge Discovery in Databases,16,4024
Advances in Knowledge Discovery and Data Mining,16,5001
Advances in Object-Oriented Data Modeling,8,365
Types in Logic Programming,8,419
Research Directions in Object-Oriented Programming,14,1605
"Building an Object-Oriented Database System, The Story of O2",12,3106
Compontent Database Systems,4,38
Database Transaction Models for Advanced Applications,13,1467
"Query Processing for Advanced Database Systems, Dagstuhl",10,311
The Benchmark Handbook,12,830
Foundations of Deductive Databases and Logic Programming.,16,4822
Location-Based Services,4,123
Active Database Systems: Triggers and Rules For Advanced Database Processing,6,291
CSCL-Kompendium,6,132
Entwicklungstendenzen bei Datenbanksystemen,3,37
Handbook of Logic in Artificial Intelligence and Logic Programming (2),5,826
Pattern Discovery in Biomolecular Data,3,32
"Handbook of Logic in Artificial Intelligence and Logic Programming, Volume 2",0,0
